gene	measurement	outlier_threshold1	percent_accurate_mean1	outlier_threshold2	percent_accurate_mean2	outlier_threshold3	percent_accurate_mean3	outlier_threshold4	percent_accurate_mean4
MAGEA9B	6.51428009563	0.417007636278868	NA	0.0714228814467788	NA	NA	NA	0.07177475374192	NA
MAGED2	8.88065491786	9.70274299383163	NA	8.54897677898407	NA	NA	NA	8.71522736549377	NA
MAGI2-AS3	6.89832929773	6.47886189818382	NA	6.19485211372375	NA	NA	NA	6.33911991119385	NA
MALSU1	7.71046207398	6.75279104709625	NA	7.07042157649994	NA	NA	NA	7.01663994789124	NA
MDC1	6.42324199597	6.60663270950317	NA	5.83244180679321	NA	NA	NA	6.1078028678894	NA
MEG3	10.46712661	18.0064021646976	NA	9.87167537212372	NA	NA	NA	10.4052820205688	NA
METTL17	6.95953834111	8.01947873830795	NA	6.79677677154541	NA	NA	NA	6.73384737968445	NA
METTL5	6.47994190148	6.84686857461929	NA	6.46547651290894	NA	NA	NA	6.47303867340088	NA
MIA3	7.08788710093	6.77486795186996	NA	6.2964380979538	NA	NA	NA	6.52922058105469	NA
MIR503HG	6.19770815796	13.1681422740221	NA	4.50366318225861	NA	NA	NA	5.19453418254852	NA
MITD1	5.91767043436	6.48167788982391	NA	5.70355129241943	NA	NA	NA	5.90190100669861	NA
MORF4L2	9.31192991743	10.2091510295868	NA	8.82843601703644	NA	NA	NA	8.90079116821289	NA
MPHOSPH6	6.26303440583	5.65316551923752	NA	5.70888984203339	NA	NA	NA	5.80379199981689	NA
MRPL11	7.39934201913	7.47865068912506	NA	6.77236258983612	NA	NA	NA	7.26788997650146	NA
MRPL2	7.11727946005	6.92447155714035	NA	6.69228887557983	NA	NA	NA	6.78844785690308	NA
MRPL30	5.79856900356	5.88366109132767	NA	5.50906884670258	NA	NA	NA	5.63176727294922	NA
MRPL32	7.2174246138099996	6.66814321279526	NA	6.56351542472839	NA	NA	NA	6.57293891906738	NA
MRPL45	6.23400306636	6.38038098812103	NA	5.920254945755	NA	NA	NA	6.17491698265076	NA
MRPL52	8.42701945584	8.7170250415802	NA	8.0009092092514	NA	NA	NA	8.02838945388794	NA
MRPL9	7.40947579806	7.3515630364418	NA	6.85825324058533	NA	NA	NA	7.22840809822083	NA
MRPS5	6.95221706497	7.10953813791275	NA	6.36566126346588	NA	NA	NA	6.37138867378235	NA
MRPS9	6.58646452589	6.09584909677505	NA	5.20593404769897	NA	NA	NA	5.46970081329346	NA
MSH5	6.71630503984	6.50756406784058	NA	5.55204999446869	NA	NA	NA	5.53966808319092	NA
MSTO1	6.529196268	7.22823983430862	NA	6.20530033111572	NA	NA	NA	6.29013991355896	NA
MTERF4	6.12990118237	6.58997786045074	NA	5.89570462703705	NA	NA	NA	5.86865186691284	NA
MTX2	6.31922050252	6.58095586299896	NA	5.85659241676331	NA	NA	NA	6.2227635383606	NA
MX2	6.29314973674	7.62288129329681	NA	4.98635852336884	NA	NA	NA	5.12495839595795	NA
MYO19	5.91169158187	7.61723583936691	NA	5.47041422128677	NA	NA	NA	5.80037081241608	NA
NAA10	7.83668159333	8.32158267498016	NA	7.64676177501678	NA	NA	NA	7.58493781089783	NA
NANS	6.57561487762	8.19819700717926	NA	6.38202261924744	NA	NA	NA	6.38721036911011	NA
NASP	8.97257778518	8.93421405553818	NA	8.23747146129608	NA	NA	NA	8.94508123397827	NA
NCL	10.3056741837	10.2234514355659	NA	9.5089203119278	NA	NA	NA	9.58540487289429	NA
NDUFS6	7.65004647885	7.94981861114502	NA	7.26801908016205	NA	NA	NA	7.29324102401733	NA
NDUFV2	7.83187724119	7.86912953853607	NA	7.75258076190948	NA	NA	NA	7.74596452713013	NA
NEDD8	9.50668444773	8.85531848669052	NA	8.7505544424057	NA	NA	NA	8.79902505874634	NA
NELFE	8.13298804263	7.90258848667145	NA	7.64179670810699	NA	NA	NA	7.66495966911316	NA
NGDN	7.037382222	6.86438608169556	NA	6.78964221477509	NA	NA	NA	6.70335578918457	NA
NIF3L1	5.95186750433	5.95572555065155	NA	5.64852130413055	NA	NA	NA	5.73570418357849	NA
NIFK	7.5643019464	7.57456749677658	NA	6.8563688993454	NA	NA	NA	6.90106964111328	NA
NOC2L	7.08225550938	7.14362931251526	NA	6.79949915409088	NA	NA	NA	6.89789247512817	NA
NOL10	6.47605759568	5.14909625053406	NA	4.81261444091797	NA	NA	NA	5.0909059047699	NA
NOL7	7.20476675065	6.8099570274353	NA	6.79260516166687	NA	NA	NA	6.77685976028442	NA
NOL8	6.23553560671	5.79084259271622	NA	5.30094623565674	NA	NA	NA	5.48757660388947	NA
